,subj,trial,choice,roi,rt,upleftval,uprightval,downleftval,downrightval,fixdur,fixnum,revfixnum
3336,28,79,0,4,2376.9,203,291,174,50,261,3,2
3347,28,79,0,2,2376.9,203,291,174,50,316,4,1
3492,28,84,1,2,2654.6,297,260,82,254,423.7,1,5
3502,28,84,1,4,2654.6,297,260,82,254,229.8,2,4
3516,28,84,1,2,2654.6,297,260,82,254,432.1,3,3
3522,28,84,1,1,2654.6,297,260,82,254,590.1,4,2
3533,28,84,1,3,2654.6,297,260,82,254,164.8,5,1
3543,28,85,0,2,2163.9,230,259,199,54,713.85,1,5
3552,28,85,0,4,2163.9,230,259,199,54,274,2,4
3563,28,85,0,3,2163.9,230,259,199,54,190.1,3,3
3572,28,85,0,2,2163.9,230,259,199,54,168.1,4,2
3581,28,85,0,1,2163.9,230,259,199,54,308.3,5,1
3652,28,91,0,2,1624.7,130,142,95,77,7.01,1,4
3662,28,91,0,4,1624.7,130,142,95,77,242.01,2,3
3672,28,91,0,3,1624.7,130,142,95,77,179.1,3,2
3683,28,91,0,4,1624.7,130,142,95,77,195.5,4,1
3693,28,98,0,2,1198.4,252,279,217,84,250.83,1,3
3704,28,98,0,4,1198.4,252,279,217,84,223.06,2,2
3713,28,98,0,2,1198.4,252,279,217,84,226.63,3,1
3723,28,99,1,1,1042.4,240,280,209,24,101.38,1,2
3734,28,99,1,2,1042.4,240,280,209,24,62.46,2,1
3745,28,100,0,1,1392.5,271,236,58,167,182.8,1,2
3755,28,100,0,2,1392.5,271,236,58,167,367.95,2,1
3764,28,101,0,1,1392.4,281,250,62,171,321.83,1,2
3774,28,101,0,2,1392.4,281,250,62,171,377.92,2,1
3865,28,105,0,4,2174,265,248,69,155,241.9,1,2
3875,28,105,0,2,2174,265,248,69,155,519.3,2,1
3943,28,109,1,2,2730.8,290,262,111,258,303.63,1,5
3951,28,109,1,3,2730.8,290,262,111,258,6.1,2,4
3961,28,109,1,1,2730.8,290,262,111,258,182.9,3,3
3971,28,109,1,3,2730.8,290,262,111,258,137,4,2
3981,28,109,1,4,2730.8,290,262,111,258,609.8,5,1
3992,28,110,0,2,1899.6,267,205,12,202,521.95,1,4
4002,28,110,0,4,1899.6,267,205,12,202,188.9,2,3
4015,28,110,0,1,1899.6,267,205,12,202,445.1,3,2
4025,28,110,0,2,1899.6,267,205,12,202,48.2,4,1
4095,28,112,1,2,1247.8,264,277,136,30,247.9,1,3
4106,28,112,1,1,1247.8,264,277,136,30,247.05,2,2
4115,28,112,1,3,1247.8,264,277,136,30,63.3,3,1
4184,28,115,0,2,1380.6,282,267,50,250,367.97,1,2
4194,28,115,0,1,1380.6,282,267,50,250,40.8,2,1
4384,28,123,0,2,2940.3,200,185,40,180,75.12,1,6
4394,28,123,0,1,2940.3,200,185,40,180,235,2,5
4405,28,123,0,2,2940.3,200,185,40,180,291.9,3,4
4416,28,123,0,1,2940.3,200,185,40,180,395.4,4,3
4424,28,123,0,2,2940.3,200,185,40,180,565.1,5,2
4434,28,123,0,1,2940.3,200,185,40,180,294.3,6,1
4446,28,124,1,2,2030.4,260,234,42,180,298.89,1,5
4456,28,124,1,1,2030.4,260,234,42,180,17.9,2,4
4464,28,124,1,3,2030.4,260,234,42,180,146,3,3
4474,28,124,1,4,2030.4,260,234,42,180,193,4,2
4483,28,124,1,2,2030.4,260,234,42,180,418.2,5,1
4534,28,126,1,2,2489.1,234,266,134,26,52.22,1,4
4543,28,126,1,4,2489.1,234,266,134,26,194.1,2,3
4555,28,126,1,2,2489.1,234,266,134,26,238,3,2
4565,28,126,1,1,2489.1,234,266,134,26,990.1,4,1
4663,28,132,0,2,1984.5,186,272,153,12,44.04,1,5
4674,28,132,0,1,1984.5,186,272,153,12,583.91,2,4
4684,28,132,0,3,1984.5,186,272,153,12,241.2,3,3
4694,28,132,0,1,1984.5,186,272,153,12,25,4,2
4703,28,132,0,3,1984.5,186,272,153,12,9.7,5,1
4772,28,136,0,2,1947.3,260,289,186,33,227.69,1,3
4782,28,136,0,4,1947.3,260,289,186,33,179.8,2,2
4793,28,136,0,1,1947.3,260,289,186,33,586.1,3,1
4956,28,149,0,1,1715.3,237,274,216,26,284.8,1,1
4984,28,151,1,1,1852.1,247,296,124,30,203.72,1,4
4994,28,151,1,2,1852.1,247,296,124,30,235.09,2,3
5003,28,151,1,3,1852.1,247,296,124,30,9.8,3,2
5014,28,151,1,1,1852.1,247,296,124,30,270,4,1
5024,28,152,1,1,1639.4,277,267,48,241,4.9,1,4
5033,28,152,1,2,1639.4,277,267,48,241,8,2,3
5043,28,152,1,3,1639.4,277,267,48,241,6.9,3,2
5053,28,152,1,1,1639.4,277,267,48,241,74.3,4,1
5153,28,158,0,1,2177.6,256,278,250,69,9.75,1,3
5164,28,158,0,4,2177.6,256,278,250,69,278.9,2,2
5174,28,158,0,1,2177.6,256,278,250,69,193.9,3,1
5273,28,162,0,2,2544,232,287,214,20,260.29,1,6
5284,28,162,0,4,2544,232,287,214,20,208.14,2,5
5293,28,162,0,1,2544,232,287,214,20,244.1,3,4
5302,28,162,0,3,2544,232,287,214,20,98.1,4,3
5313,28,162,0,1,2544,232,287,214,20,482,5,2
5322,28,162,0,2,2544,232,287,214,20,475.2,6,1
5356,28,164,0,4,2043.9,250,230,48,221,253.6,1,2
5366,28,164,0,2,2043.9,250,230,48,221,582.5,2,1
5393,28,166,0,2,3408.5,255,245,33,240,73.79,1,7
5403,28,166,0,1,3408.5,255,245,33,240,398.87,2,6
5413,28,166,0,2,3408.5,255,245,33,240,380,3,5
5423,28,166,0,1,3408.5,255,245,33,240,3,4,4
5433,28,166,0,3,3408.5,255,245,33,240,578.9,5,3
5443,28,166,0,1,3408.5,255,245,33,240,640.1,6,2
5452,28,166,0,2,3408.5,255,245,33,240,288.1,7,1
5644,28,174,1,2,2245.7,252,241,97,180,363.1,1,4
5654,28,174,1,4,2245.7,252,241,97,180,229.1,2,3
5663,28,174,1,3,2245.7,252,241,97,180,295,3,2
5672,28,174,1,1,2245.7,252,241,97,180,231.3,4,1
5716,28,176,1,2,2034.6,295,260,61,240,450,1,5
5725,28,176,1,1,2034.6,295,260,61,240,30.15,2,4
5734,28,176,1,3,2034.6,295,260,61,240,271.19,3,3
5744,28,176,1,4,2034.6,295,260,61,240,152.1,4,2
5753,28,176,1,2,2034.6,295,260,61,240,532.9,5,1
5774,28,178,0,2,2320.5,290,250,56,237,242.39,1,3
5785,28,178,0,1,2320.5,290,250,56,237,11.04,2,2
5794,28,178,0,2,2320.5,290,250,56,237,925.8,3,1
5853,28,180,1,2,2488.8,247,220,50,150,1083.74,1,2
5861,28,180,1,1,2488.8,247,220,50,150,538.9,2,1
5871,28,181,0,2,2071.5,222,249,200,49,275.81,1,5
5881,28,181,0,1,2071.5,222,249,200,49,40.84,2,4
5892,28,181,0,3,2071.5,222,249,200,49,218.07,3,3
5902,28,181,0,4,2071.5,222,249,200,49,180,4,2
5912,28,181,0,2,2071.5,222,249,200,49,653.3,5,1
6072,28,188,0,1,2291.5,261,216,31,183,150.83,1,6
6082,28,188,0,3,2291.5,261,216,31,183,189.96,2,5
6092,28,188,0,2,2291.5,261,216,31,183,386.94,3,4
6103,28,188,0,4,2291.5,261,216,31,183,345,4,3
6114,28,188,0,2,2291.5,261,216,31,183,513.6,5,2
6122,28,188,0,4,2291.5,261,216,31,183,110.2,6,1
6131,28,189,1,1,1543.6,256,286,198,79,31.04,1,2
6141,28,189,1,2,1543.6,256,286,198,79,133.9,2,1
6223,28,192,1,2,2059,227,173,41,160,492.98,1,5
6234,28,192,1,3,2059,227,173,41,160,248.91,2,4
6244,28,192,1,4,2059,227,173,41,160,243.3,3,3
6254,28,192,1,2,2059,227,173,41,160,391,4,2
6263,28,192,1,4,2059,227,173,41,160,194,5,1
6415,28,199,1,2,2085.4,292,194,32,193,100.82,1,3
6423,28,199,1,4,2085.4,292,194,32,193,592.04,2,2
6434,28,199,1,2,2085.4,292,194,32,193,489.7,3,1
2613,30,4,0,1,2573.9,271,207,5,187,128.78,1,6
2712,30,4,0,4,2573.9,271,207,5,187,239.88,2,5
2813,30,4,0,3,2573.9,271,207,5,187,260.9,3,4
2914,30,4,0,2,2573.9,271,207,5,187,466.9,4,3
3014,30,4,0,4,2573.9,271,207,5,187,325,5,2
3113,30,4,0,2,2573.9,271,207,5,187,277.2,6,1
