"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"3039",44,105,201.4052,106,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.59363421413333,203.5,2960
"3040",288.0508,180,33,125,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.61663421413333,729.53,2983
"3041",124,172.5334,240,183,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.43163421413333,645.2,798
"3042",170,119,59.5619,120,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.27663421413333,1025.36,2643
"3043",271,214,139,205.7561,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.26163421413333,306.86,1628
"3044",42.7407,96,196,93,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.28063421413333,62.7700000000001,647
"3045",235,167.8223,128,183,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,0.831634214133333,0,198
"3046",39,84,160,86.9989,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.91863421413333,942.68,1285
"3047",92.1644,172,261,156,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.69763421413333,426.8,1064
"3048",66,130,189,102.1685,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.55563421413333,221.64,922
"3049",277.1856,210,87,124,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.38463421413333,295.98,751
"3050",39,115.7281,260,139,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.88663421413333,1156.3,2253
"3051",244,147.1857,60,118,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,0.937634214133333,80.9,304
"3052",68,165.2795,276,129,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.20863421413333,569.69,1575
"3053",265.1475,222,182,226,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.2437814864,193.86,490
"3054",124,172.5334,240,183,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.0767814864,0,323
"3055",285,217,42.3622,86,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.7857814864,129.2,1032
"3056",267,202,163,233.3841,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-3.4677814864,1256,2714
"3057",245,189,90.0296,136,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,2.9297814864,1255.74,2176
"3058",32,64.6739,228,147,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.9917814864,673.76,1238
"3059",85.1249,121,246,195,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.5047814864,328,751
"3060",235,167,39.3272,87,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.8727814864,325.87,1119
"3061",166,213,291.1944,234,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.8627814864,531.89,1109
"3062",79,141,184.1219,112,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,4.7097814864,1638.36,3956
"3063",291,197,74,135.1494,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.6527814864,851,1899
"3064",290,132,72.1965,200,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.0887814864,335,335
"3065",39.804,135,193,103,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.7747814864,516.96,1021
"3066",77,211,242,108.2796,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,2.3537814864,453.5,1600
"3067",54,222.0767,272,86,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.6607814864,255.71,907
"3068",283.1057,190,93,178,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.4697814864,0,716
"3069",229,130.8132,88,166,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.5067814864,1235.64,1753
"3070",251,141.9429,107,218,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.6357814864,323.78,882
"3071",205,112.2706,71,130,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.9377814864,715.06,1184
"3072",266.422,171,136,227,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,1.4897814864,736,736
"3073",277.912,182,124,199,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-3.2667814864,1067.18,2513
"3074",116,182,230,152.6308,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.4527814864,579.25,1699
"3075",202,99,47.276,98,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.1807814864,747.05,1427
"3076",285.3243,180,133,232,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.3147814864,433.3,561
"3077",201.4052,106,44,105,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.9087814864,606.76,1155
"3078",39.4254,76,240,176,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.7977814864,898.38,2044
"3079",72,155,219.9473,103,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.2597814864,0,506
"3080",87,118,191,160,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.5527814864,615.5,799
"3081",94,141,175.737,128,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.9437814864,872.89,1190
"3082",72,108,183.3187,123,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.3107814864,768.85,1557
"3083",72,182,268,113.8685,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.8387814864,214.09,1085
"3084",283,223,128,163.746,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.2887814864,226,535
"3085",296,169,64.0059,154,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.7387814864,451,985
"3086",39,139,260,115.7281,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.7237814864,398.98,970
"3087",89.8811,126,248,191,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.3887814864,25.96,635
"3088",296,251,204,241.0683,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-4.2337814864,1788.65,3480
"3089",221.4987,166,61,110,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.4957814864,334.13,742
"3090",127.7165,170,286,202,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.7947814864,504.82,2041
"3091",300,189,131.6394,210,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.5167814864,22.46,763
"3092",46.3955,124,214,105,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.1677814864,112.94,414
"3093",295.5577,218,172,227,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.3957814864,376.94,642
"3094",244,155.1241,90,170,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.0207814864,267,267
"3095",160.1078,93,58,126,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-3.9197814864,1918.32,3166
"3096",55,226.5215,295,90,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.5447814864,440.87,791
"3097",50.3627,139,197,90,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.2857814864,30.3999999999998,532
"3098",286,232,147,194.2197,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.3157814864,195.12,562
"3099",191,148,52,100.5618,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-1.2937814864,364.91,540
"3100",69,104,166.4624,118,18,0.244488627963333,0.403451018291667,0.7312365272,0.7537814864,0.5050718697,0.364557394276667,0.960324339266667,-2.5987814864,955.7,1845
